,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-08,27.406999999999996,27.776999999999997,27.368000000000002,27.67,54504825,64.27,65.187,64.055,65.139,13911761,202.23,202.82,198.68,202.06,2399614,106.38,107.39,106.07,107.18,11176175,40.34,40.525,39.723,40.34,10112338,43.917,44.8,43.753,44.568999999999996,21520354
2019-08-07,26.919,27.230999999999998,26.441999999999997,27.191999999999997,77322025,63.078,63.751999999999995,62.113,63.577,18871124,196.3,201.03,194.29,200.81,2514382,105.37,105.63,103.36,105.39,17754300,39.361999999999995,39.743,38.580999999999996,39.646,14433947,43.76,43.835,42.961000000000006,43.513000000000005,29299302
2019-08-06,27.7,27.776999999999997,26.999000000000002,27.71,66785904,64.416,64.738,63.273999999999994,64.661,12716612,198.7,201.13,196.08,201.08,2406946,107.36,107.8,105.69,107.73,10458818,40.027,40.399,39.558,40.291,10722945,44.272,44.67100000000001,43.522,44.577,20472748
2019-08-05,27.816,27.924,27.018,27.378,98675173,64.025,64.241,63.031000000000006,63.61600000000001,21664652,200.89,200.89,194.81,196.86,2862655,108.09,108.27,105.61,106.9,16252089,40.007,40.076,39.04,39.577,15664290,44.168,44.453,43.551,43.826,28544949
2019-08-02,28.646,28.761999999999997,28.186999999999998,28.646,58966881,65.988,66.42699999999999,65.02600000000001,65.988,15134529,206.52,206.52,200.41,204.35,2564323,110.18,110.66,108.68,110.18,11301428,41.766999999999996,41.785,40.31,41.17,16461056,44.7,45.223,44.045,45.06,21223236
2019-08-01,29.785999999999998,30.288,28.625999999999998,28.752,78886015,68.459,68.867,65.486,66.212,23299741,214.1,214.69,205.72,206.54,3145371,112.51,113.95,109.85,110.19,16056518,43.419,43.731,41.723,41.961999999999996,13262877,45.982,46.196000000000005,44.596000000000004,44.7,23865383
2019-07-31,30.059,30.283,29.825,29.913,62162078,69.167,69.413,68.595,68.934,14056978,215.95,216.68,213.76,214.87,2039840,113.27,113.34,112.06,113.17,13989493,43.693000000000005,43.976000000000006,43.281000000000006,43.556000000000004,8508929,45.841,46.525,45.696999999999996,45.982,24659438
2019-07-30,29.455,30.127,29.396,30.116999999999997,38562582,68.809,69.468,68.377,69.468,9505616,213.27,216.69,212.12,216.11,1684845,112.37,113.25,111.96,112.77,7299344,43.604,43.839,43.174,43.663000000000004,7508400,45.603,46.153999999999996,45.489,46.115,14957101
2019-07-29,29.951999999999998,30.079,29.728,29.756,40181451,69.66,70.07600000000001,69.486,69.516,8837636,215.71,216.81,214.94,215.06,1406403,113.61,114.32,112.97,113.03,8713082,44.266999999999996,44.353,43.713,43.869,8936022,46.903,47.083,45.763999999999996,45.858999999999995,20159524
2019-07-26,29.805,30.215,29.659000000000002,30.000999999999998,48183690,69.89399999999999,70.367,69.598,69.904,10969032,215.28,216.92,215.11,216.82,2361320,113.38,113.66,112.71,113.38,13120679,44.363,44.391999999999996,43.558,44.363,8579296,45.736000000000004,46.836999999999996,45.659,46.828,22784330
2019-07-25,29.971,30.116999999999997,29.455,29.581,44361250,70.678,70.795,68.71300000000001,69.157,16205184,216.47,216.47,213.01,214.72,2845177,114.04,114.38,112.5,112.89,10392069,44.131,44.196999999999996,43.257,43.519,9004970,46.086999999999996,46.29,45.603,45.678999999999995,21647600
2019-07-24,29.319000000000003,29.980999999999998,29.289,29.903000000000002,54535629,69.418,70.8,69.418,70.726,12916907,214.0,216.77,213.41,216.73,3258022,112.76,114.03,112.7,113.98,10261548,43.538999999999994,44.333,43.51,44.131,8343791,44.928000000000004,46.04,44.909,46.021,30907057
2019-07-23,29.006999999999998,29.523000000000003,28.958000000000002,29.493000000000002,65672578,69.1,69.922,69.07,69.73899999999999,12185430,209.81,214.74,209.81,214.18,3412242,113.52,113.6,112.02,113.52,13071276,43.423,43.927,43.423,43.742,10165653,44.338,45.199,44.321000000000005,44.833999999999996,22266793
2019-07-22,28.558000000000003,28.87,28.548000000000002,28.83,32028129,68.508,69.06,68.464,68.885,8187731,208.3,209.72,207.23,208.88,1953967,110.16,111.66,110.02,111.48,9288240,42.888999999999996,43.251999999999995,42.617,43.16,7312013,43.588,44.217,43.471000000000004,44.148999999999994,18922999
2019-07-19,28.802,28.87,28.646,28.664,46013795,69.486,69.913,68.648,68.702,11545801,208.9,210.6,208.25,208.42,1866933,111.95,112.31,110.63,110.77,10663089,43.015,43.363,42.995,43.053999999999995,10396681,43.655,44.082,43.56,43.723,23001759
2019-07-18,28.548000000000002,28.84,28.451,28.743000000000002,50773137,68.334,69.652,68.27600000000001,69.544,13842931,207.61,210.66,206.69,209.38,2929034,111.15,112.26,110.78,111.87,9635895,42.355,43.178999999999995,42.2,43.093,11534750,42.952,43.713,42.924,43.522,20437427
2019-07-17,28.372,28.879,28.275,28.461,87137238,68.964,69.263,68.41199999999999,68.605,12674628,208.73,210.61,208.06,208.2,2646761,111.64,112.13,110.96,111.2,13449260,42.928000000000004,42.986000000000004,42.345,42.451,9415273,42.934,43.451,42.876000000000005,42.943000000000005,25795648
2019-07-16,28.441,28.469,28.138,28.265,56328989,69.458,69.749,68.867,69.09,17049933,209.66,212.12,207.46,210.37,5413148,110.71,112.68,110.17,112.31,17369027,43.451,43.703,42.937,43.093,10486989,44.376999999999995,44.614,42.952,43.028999999999996,39530599
2019-07-15,28.761999999999997,28.791999999999998,28.353,28.489,47653702,69.486,69.89399999999999,67.887,69.468,24120285,208.98,209.46,204.77,206.52,2663931,112.72,112.75,110.76,111.12,13270571,43.655,43.655,42.957,43.093,8114989,45.023,45.07,44.111999999999995,44.368,22464979
2019-07-12,28.704,28.791999999999998,28.625999999999998,28.714000000000002,30392878,69.642,69.768,69.34100000000001,69.524,15851506,206.94,209.06,205.75,208.83,2690367,111.34,112.53,111.15,112.48,11053236,43.208999999999996,43.549,43.044,43.519,9862671,44.757,45.042,44.567,44.985,13467954
2019-07-11,28.372,28.761999999999997,28.304000000000002,28.625999999999998,38335431,69.196,69.749,68.867,69.37100000000001,11086172,201.26,207.5,201.07,206.29,3782069,110.6,111.57,110.35,111.31,11885326,42.18,42.99,42.073,42.849,9072592,44.842,45.18899999999999,44.695,44.776,20794128
2019-07-10,28.441,28.66,28.236,28.294,41615422,69.263,69.684,68.44,68.905,12545607,202.24,203.99,200.74,201.04,1823451,110.6,111.06,109.99,110.25,9473530,42.442,42.652,41.937,42.006,5475850,45.278999999999996,45.413000000000004,44.681000000000004,44.785,13459864
2019-07-09,28.246,28.684,28.217,28.616,29487466,68.324,69.428,68.208,69.322,9783671,198.88,202.96,198.68,202.79,1856587,109.54,110.72,109.41,110.58,9171219,41.783,42.55,41.725,42.461000000000006,6126799,44.928000000000004,45.489,44.842,45.431999999999995,13259997
2019-07-08,28.285,28.566999999999997,28.217,28.469,31717567,68.547,69.44800000000001,68.43,68.905,10525553,201.42,202.31,199.81,200.82,1899362,110.2,110.71,109.76,110.12,7090305,42.278,42.637,41.982,42.18,7279422,45.023,45.57899999999999,44.938,45.147,13885579
2019-07-05,28.625999999999998,28.83,28.421,28.528000000000002,33940764,69.04,69.554,68.759,69.167,9401538,201.92,203.78,201.26,202.92,1548477,110.74,111.48,110.17,110.72,8127963,43.15,43.466,42.743,42.879,6470856,45.68899999999999,45.773999999999994,45.278999999999996,45.373999999999995,11371862
2019-07-03,28.461,28.509,28.201999999999998,28.323,27325606,68.498,68.973,68.082,68.634,7878852,202.35,202.43,200.33,201.1,1002776,110.57,111.1,109.52,110.07,7020843,42.626999999999995,42.816,42.501000000000005,42.667,4609578,44.928000000000004,45.394,44.623999999999995,45.269,10989515
2019-07-02,28.605999999999998,28.694000000000003,28.206999999999997,28.421,33099202,68.15899999999999,68.759,67.89699999999999,68.237,10605554,200.5,201.37,199.27,201.05,1666740,109.96,110.63,109.68,110.23,10511326,42.38399999999999,42.602,42.093,42.511,8490442,45.138000000000005,45.403,44.563,44.861000000000004,12746492
2019-07-01,28.743000000000002,29.104,28.518,28.684,49377921,68.643,69.398,67.994,68.528,14035370,203.02,204.83,200.8,201.92,2528969,109.69,110.94,109.55,110.13,13174459,43.247,43.699,42.21,42.626999999999995,12604631,45.479,45.706,45.023,45.299,15920458
2019-06-28,28.285,28.538,28.011999999999997,28.275,104469301,67.113,68.008,66.962,67.839,21047006,198.64,200.91,198.08,199.7,4973871,107.56,108.91,107.42,108.3,22333065,42.869,43.224,42.424,42.49100000000001,15925140,44.463,45.308,44.453,44.946999999999996,32669173
2019-06-27,27.378,27.612,27.358,27.504,36488059,65.505,66.289,65.418,66.018,12376189,192.84,194.83,192.05,194.55,2294049,105.43,106.13,105.05,105.43,11258679,41.996,42.336000000000006,41.783,42.18,7691414,43.902,44.201,43.798,43.968999999999994,14098607
2019-06-26,27.241,27.474,27.155,27.211,43397504,64.944,65.602,64.678,65.117,14094968,191.8,193.14,191.43,192.3,1690290,104.92,105.89,104.78,105.09,10657896,41.492,41.986999999999995,41.461999999999996,41.695,8069329,43.893,43.955,43.483999999999995,43.503,18009897
2019-06-25,27.319000000000003,27.319000000000003,26.695,27.065,48104235,65.35,65.369,64.4,64.459,14664322,192.77,192.79,189.37,191.37,1873105,105.29,105.57,104.3,104.39,19262472,41.675,41.705,40.968999999999994,41.376000000000005,10550541,43.817,44.196999999999996,43.151,43.826,21912840
2019-06-24,27.378,27.67,27.191999999999997,27.281,41073475,65.699,66.361,65.27199999999999,65.301,11586109,191.83,194.58,191.34,192.77,2120529,105.86,106.34,105.14,105.27,13460503,42.19,42.577,41.695,41.773,8394139,44.217,44.348,43.912,43.95,23008236
2019-06-21,27.484,27.836,27.378,27.416999999999998,71225077,65.902,66.80199999999999,65.699,65.844,20132245,190.22,193.59,189.34,191.25,3447963,106.75,108.18,105.67,106.02,27964014,42.268,42.833999999999996,42.132,42.268,19023948,43.541000000000004,44.538000000000004,43.494,44.538000000000004,41254974
2019-06-20,27.875999999999998,27.895,27.155,27.564,62448811,66.415,66.57,65.132,65.97,16059576,192.77,193.45,188.98,191.02,2816658,107.41,107.6,105.62,106.75,14078450,42.152,42.626999999999995,41.695,42.152,10230879,43.56,43.683,42.966,43.56,20219143
2019-06-19,27.982,28.241,27.593000000000004,27.612,63542436,66.028,66.445,65.46600000000001,65.476,12733389,190.68,192.88,190.13,190.97,2250640,107.35,108.11,106.26,106.47,13550275,42.38399999999999,42.586999999999996,41.81100000000001,41.841,8283665,44.148999999999994,44.407,43.336000000000006,43.361000000000004,18726672
2019-06-18,27.311,28.08,27.135,27.905,61713897,64.682,66.115,64.42,65.854,12592955,186.11,192.42,186.11,190.31,2420875,105.6,107.92,105.57,107.25,11414279,41.288999999999994,42.49100000000001,41.162,42.036,10407865,42.981,44.06399999999999,42.8,43.788000000000004,19593685
2019-06-17,27.311,27.514,27.095,27.230999999999998,34266958,65.389,65.398,64.32300000000001,64.459,8398863,187.43,188.6,186.18,186.27,1183891,106.27,106.92,105.64,105.8,8390978,41.443000000000005,41.783,41.162,41.23,5834373,43.295,43.713,42.876000000000005,43.0,14128906
2019-06-14,27.211,27.465999999999998,27.085,27.338,38279327,65.05,65.607,64.42,65.369,9189604,186.71,187.58,184.78,187.07,1438328,106.15,106.86,105.24,106.38,9370719,41.89,41.918,41.23,41.531000000000006,7323120,43.038000000000004,43.494,42.592,43.303999999999995,17000037
2019-06-13,27.271,27.456999999999997,27.115,27.241,34260894,64.73899999999999,65.32600000000001,64.678,64.98100000000001,9759052,185.86,187.66,185.52,186.87,1446202,106.04,106.72,105.63,106.12,8678284,41.395,41.918,41.26,41.656000000000006,7764704,42.839,43.341,42.668,43.019,16454606
2019-06-12,27.494,27.564,27.164,27.250999999999998,34388882,65.533,65.689,64.546,64.719,10197277,188.98,189.41,185.29,185.67,2109864,107.24,107.42,105.48,105.85,9982682,42.132,42.132,41.26,41.336000000000006,8324427,43.703,43.95,42.534,42.658,23656711
2019-06-11,27.67,27.982,27.436999999999998,27.534000000000002,39684118,65.46600000000001,65.902,65.059,65.757,10117369,190.63,191.42,188.88,190.08,1672219,107.35,108.09,106.92,107.22,10165899,42.451,42.849,42.103,42.355,10985350,43.541000000000004,44.13,43.475,43.94,15874369
2019-06-10,27.164,27.758000000000003,27.145,27.368000000000002,49544773,64.788,65.854,64.643,65.02,11349673,186.82,192.29,186.82,189.48,2430255,107.29,107.73,106.77,106.89,11747977,41.937,42.52,41.9,41.986999999999995,8963167,43.75,44.463,43.75,43.95,16047422
2019-06-07,27.055,27.095,26.734,26.842,52633363,64.09100000000001,64.71,63.567,63.636,12051138,185.34,186.06,184.01,185.27,1884011,106.27,106.58,105.55,105.74,10961718,41.386,41.773,41.301,41.415,7780466,43.598,43.845,43.261,43.341,15770897
2019-06-06,27.065,27.338,26.851,27.182,39624489,63.761,64.682,63.452,64.392,11219849,183.56,186.18,182.84,185.27,1694047,106.71,107.4,105.53,106.92,9008367,40.978,41.69,40.88,41.522,5919784,43.446000000000005,43.873999999999995,43.17100000000001,43.618,16866296
2019-06-05,26.999000000000002,27.163,26.629,27.065,46274009,63.403,63.95399999999999,62.483000000000004,63.723,12941064,185.55,185.61,182.54,183.93,2016408,106.42,106.93,105.24,106.69,8609721,41.23,41.386,40.681999999999995,41.153,6620656,43.57,43.593,43.028999999999996,43.56,14428929
2019-06-04,26.358,27.105,26.318,27.075,60248716,61.795,63.878,61.765,63.818999999999996,18315998,181.72,185.45,181.27,185.34,2480382,104.47,106.46,103.78,106.31,13273671,40.181999999999995,41.288999999999994,40.134,41.201,12229142,42.895,43.466,42.753,43.388999999999996,22195064
2019-06-03,25.785,26.173000000000002,25.601,25.874000000000002,51672858,60.158,60.816,60.003,60.652,20270824,177.36,179.11,176.4,178.81,2927841,102.5,103.52,102.01,103.13,12057808,39.485,39.856,39.214,39.503,10447818,42.021,42.848,41.983999999999995,42.288000000000004,21237446
2019-05-31,25.699,26.053,25.68,25.795,70434567,60.43899999999999,60.903999999999996,60.032,60.206,20613643,180.35,180.47,177.95,178.12,2705086,102.27,103.26,101.55,102.64,11306422,39.872,40.038000000000004,39.378,39.465,11680312,42.298,42.61,42.003,42.145,18466592
2019-05-30,26.93,27.085,26.164,26.338,60478531,62.745,63.208,61.271,61.62,14009097,183.59,184.83,181.56,182.89,1966354,105.26,105.76,103.21,103.72,10702502,41.181000000000004,41.341,40.275,40.57,8039295,43.398999999999994,43.551,42.623999999999995,42.791000000000004,14503168
2019-05-29,26.697,27.008000000000003,26.552,26.91,51372736,61.175,61.833999999999996,60.758,61.717,14283027,183.24,184.14,180.5,183.55,2884788,104.11,105.01,103.72,104.84,10288086,40.483000000000004,40.968999999999994,40.313,40.92,10113241,43.115,43.385,42.867,43.2,16906621
2019-05-28,27.201,27.395,27.035,27.055,45654303,62.086000000000006,62.434,61.765,61.795,15202942,186.57,187.84,184.03,184.08,3128469,105.78,106.39,105.05,105.13,12042152,41.559,41.773,40.89,40.9,10866706,43.76,43.93,43.285,43.303999999999995,21039888
2019-05-24,27.085,27.405,27.018,27.326999999999998,36632403,62.278999999999996,62.688,62.056000000000004,62.376000000000005,10029300,187.43,188.58,186.26,187.54,1685015,106.1,106.52,105.77,106.28,8812840,41.735,41.9,41.405,41.666000000000004,6363918,43.466,44.026,43.303999999999995,43.855,14134247
2019-05-23,27.28,27.346,26.668000000000003,26.92,61637161,61.824,61.941,61.107,61.901,15527934,187.54,187.54,184.2,186.54,3276898,106.21,106.35,104.13,105.25,15027910,41.461999999999996,41.531000000000006,40.88,41.425,13536547,43.531000000000006,43.56,42.805,43.276,18575168
2019-05-22,27.647,27.764,27.491999999999997,27.627,30087667,63.781000000000006,63.858000000000004,62.618,62.638000000000005,12970633,191.84,192.86,189.93,189.99,2497925,107.92,108.29,107.29,107.35,8174525,42.783,42.966,42.122,42.18,10423432,43.76,43.986999999999995,43.653999999999996,43.788000000000004,13849552
2019-05-21,27.706,27.881,27.59,27.822,40483213,63.452,64.02199999999999,63.162,64.014,11408358,193.04,193.68,192.4,193.48,2395549,107.96,108.42,107.73,108.24,8225187,42.908,43.18899999999999,42.81100000000001,43.053999999999995,6120677,43.332,44.035,43.236000000000004,44.007,19388665
2019-05-20,27.541,27.656999999999996,27.381,27.541,43018723,62.725,63.452,62.503,62.927,11980647,191.52,192.18,190.04,191.67,2555800,107.13,108.31,106.92,107.87,8793218,42.18,42.83,42.026,42.55,9229537,43.332,43.608000000000004,43.028999999999996,43.17100000000001,19849733
2019-05-17,27.395,27.773000000000003,27.366,27.541,45137791,62.937,63.868,62.861000000000004,63.035,11874919,190.75,193.46,190.75,191.83,1984546,106.56,108.26,106.38,107.3,9879419,42.21,42.985,42.19,42.559,8672849,43.161,43.915,43.132,43.408,23449556
2019-05-16,27.6,27.956999999999997,27.565,27.726,44126118,63.266999999999996,64.313,63.132,63.917,10914465,191.07,194.34,191.06,193.51,2066790,107.16,108.66,107.14,107.83,9984971,42.733000000000004,43.373000000000005,42.592,42.946999999999996,9593867,43.683,44.196999999999996,43.466,43.598,21860291
2019-05-15,27.25,27.627,27.163,27.435,53594199,62.443999999999996,63.185,62.016999999999996,62.841,15041361,189.14,191.99,187.95,190.85,2337645,105.79,107.42,105.22,106.46,10469440,41.977,42.942,41.566,42.577,11035343,43.713,44.026,43.21,43.541000000000004,21185750
2019-05-14,27.502,28.112,27.355999999999998,27.754,53844682,62.6,63.903,62.336999999999996,63.218,15583885,189.48,192.53,189.39,190.73,2535122,106.13,108.23,106.08,106.87,10842737,42.849,43.247,42.657,42.684,17839311,44.053999999999995,44.577,43.675,44.158,22390369
2019-05-13,28.084,28.122,27.201,27.395,74809673,64.062,64.255,61.958999999999996,62.36600000000001,24252999,192.3,192.3,188.51,189.46,3710555,106.64,107.0,105.57,106.03,14228597,43.839,43.907,42.617,42.849,17018824,43.958999999999996,44.63399999999999,43.94,44.007,24535068
2019-05-10,28.569000000000003,28.811999999999998,28.307,28.685,61510401,65.165,65.97,64.452,65.77600000000001,12716453,195.3,196.38,193.36,196.33,2150616,108.26,109.31,107.09,108.99,13615143,44.857,45.023,44.333,44.943999999999996,10051896,44.082,44.995,43.798,44.785,21038567
2019-05-09,28.53,28.879,28.395,28.811999999999998,45551227,64.73899999999999,65.738,64.355,65.515,17542893,193.86,196.49,192.31,195.93,2401488,107.66,109.22,107.13,109.0,12599880,44.528,45.089,44.121,45.053000000000004,8353789,43.693000000000005,44.482,43.483999999999995,44.397,24474182
2019-05-08,28.83,29.198,28.768,28.898000000000003,41147944,65.757,66.696,65.592,66.086,9776249,195.71,197.46,195.11,195.27,1870644,109.14,110.12,108.94,109.09,9885197,45.108999999999995,45.769,45.07,45.129,7568335,44.271,44.507,44.037,44.217,21062183
2019-05-07,29.248,29.258000000000003,28.734,29.015,60353834,67.181,67.325,65.505,66.028,18244079,197.58,198.22,195.33,196.9,2922147,110.46,110.46,108.77,109.67,15502507,45.72,45.778999999999996,44.857,45.303999999999995,10686835,45.20399999999999,45.306999999999995,44.131,44.375,25425372
2019-05-06,29.198,29.684,29.160999999999998,29.549,41125953,66.891,68.459,66.61399999999999,68.208,12391641,197.07,201.11,195.99,200.6,1984136,110.61,111.86,110.17,111.49,9690029,45.556000000000004,46.42,45.43,46.273999999999994,6505924,45.148,45.839,45.044,45.56,20494019
2019-05-03,29.733,29.868000000000002,29.576999999999998,29.781,36355677,68.188,68.759,67.811,68.459,11857540,200.19,202.83,199.85,201.65,1952951,112.36,113.04,112.06,112.48,8449640,46.583999999999996,47.025,46.38,46.613,6010716,45.646,45.881,45.486000000000004,45.768,17615050
2019-05-02,29.344,29.636,29.238000000000003,29.576999999999998,41901492,67.127,67.83800000000001,66.877,67.723,12661120,198.65,200.39,197.38,199.18,1558765,111.57,112.15,111.0,111.8,8891348,46.233999999999995,46.583999999999996,45.973,46.37,7918956,45.486000000000004,45.617,45.018,45.43899999999999,17946283
2019-05-01,29.636,29.956,29.267,29.344,57912616,68.031,68.503,67.127,67.33800000000001,13778073,200.57,202.5,198.25,198.94,2039497,112.11,113.34,111.51,111.56,10749017,46.748999999999995,47.156000000000006,45.982,46.138000000000005,9337453,45.456,45.955,45.148,45.372,18646750
2019-04-30,29.868000000000002,29.945999999999998,29.491,29.655,49253979,68.358,68.657,67.59,68.051,11555206,201.08,202.12,198.37,200.1,1886802,112.79,113.07,111.66,112.41,11756796,47.04,47.156000000000006,46.42,46.797,8356455,45.486000000000004,45.684,45.25899999999999,45.543,19691699
2019-04-29,29.509,30.226999999999997,29.491,29.84,70542203,67.078,69.244,66.972,68.368,17133443,197.74,202.13,197.52,201.06,3084294,111.02,113.49,110.87,112.48,14701986,46.41,47.2,46.312,47.001000000000005,10003414,45.129,45.898999999999994,45.119,45.411,17984110
2019-04-26,29.258000000000003,29.471,29.141,29.432,41894706,66.318,66.972,65.942,66.905,11108960,196.01,197.38,194.65,197.34,1588071,110.38,111.0,110.05,110.9,8144198,45.68600000000001,46.187,45.521,46.157,7948900,44.705,45.138999999999996,44.592,45.119,13856338
2019-04-25,29.006,29.403000000000002,28.991,29.171,44592523,65.992,66.583,65.596,66.154,9260628,194.05,196.83,193.47,195.71,2135702,109.48,110.57,108.98,110.06,9612359,45.501999999999995,46.012,45.31,45.578,5795610,44.375,45.119,44.131,44.695,24493885
2019-04-24,29.043000000000003,29.258000000000003,28.948,29.112,41328154,66.405,66.627,65.837,66.251,10077514,197.26,197.76,194.08,194.86,4740500,109.72,110.58,109.28,110.0,9544202,45.425,45.882,45.347,45.666000000000004,9381994,44.271,44.864,44.243,44.666000000000004,18954660
2019-04-23,29.083000000000002,29.296999999999997,29.015,29.160999999999998,43196237,66.26100000000001,66.69800000000001,65.812,66.607,13719317,198.47,199.38,197.01,198.36,2183011,109.47,110.8,109.32,110.19,9490084,45.387,45.733000000000004,45.156000000000006,45.636,8470145,44.405,44.625,44.168,44.545,17469197
2019-04-22,29.025,29.189,28.879,29.141,35847620,66.972,67.097,66.42399999999999,66.5,13709315,199.31,199.77,198.36,198.82,1637771,109.3,110.36,109.14,110.05,8233325,45.656000000000006,45.728,45.276,45.578,7306433,44.601000000000006,44.68600000000001,44.31100000000001,44.461000000000006,16978403
2019-04-18,29.043000000000003,29.248,28.918000000000003,29.122,63724044,67.38600000000001,67.752,67.012,67.058,14039917,201.22,201.99,199.34,200.09,2957987,110.95,111.35,109.79,109.91,12905519,46.062,46.398,45.578,45.83,20653881,44.63,45.035,44.328,44.761,23828400
2019-04-17,28.928,29.208000000000002,28.569000000000003,29.122,97789402,67.328,68.09899999999999,66.952,67.71300000000001,21307493,196.24,202.59,196.06,202.03,4317500,108.21,111.08,107.53,110.73,18366224,46.118,46.793,45.425,46.513999999999996,20346198,45.119,45.119,44.14,44.733999999999995,26727314
2019-04-16,28.414,29.141,28.122,28.976,108448600,64.971,66.818,64.86399999999999,66.71300000000001,19361295,193.97,197.2,193.6,196.12,4994282,106.46,107.91,106.42,107.62,11957146,44.701,45.382,44.519,45.317,13860107,44.103,45.035,44.093,44.828,26805077
2019-04-15,29.189,29.228,28.766,28.938000000000002,59230270,64.86399999999999,65.241,63.787,64.854,20252841,198.33,199.91,194.05,194.25,6809919,107.44,107.52,105.7,106.5,15653312,44.788999999999994,45.096000000000004,44.25899999999999,44.412,12107078,43.152,44.271,42.955,43.998999999999995,37155165
2019-04-12,28.665,29.307,28.665,29.258000000000003,103316955,64.566,65.745,64.138,64.893,19987693,201.13,204.03,200.54,201.97,5245039,106.02,108.35,105.47,107.73,26668014,44.23,45.367,44.21,45.001000000000005,22454409,44.92100000000001,45.928999999999995,43.331,43.735,74696568
2019-04-11,28.366,28.599,28.112,28.191,52013264,63.333999999999996,63.949,62.863,63.44,11800885,198.45,199.63,195.87,197.09,2884003,102.42,103.4,102.27,102.9,11544867,43.122,43.449,42.86,43.178999999999995,8168274,45.129,45.397,44.573,44.912,35782461
2019-04-10,28.026999999999997,28.268,27.881,28.191,44000509,63.027,63.223,62.353,63.06399999999999,12771918,196.08,197.43,194.61,197.24,1962648,101.84,102.42,101.21,102.05,11233592,42.715,43.005,42.505,42.841,6955028,45.233000000000004,45.336000000000006,44.586999999999996,44.958999999999996,32928506
2019-04-09,28.122,28.191,27.872,28.017,41799566,63.141999999999996,63.141999999999996,62.255,62.757,10618986,195.54,195.89,193.24,194.94,2470804,101.79,101.91,100.99,101.58,9385689,43.034,43.053999999999995,42.355,42.66,7715341,45.795,45.815,45.17,45.288000000000004,24345816
2019-04-08,28.017,28.316999999999997,27.997,28.287,36372997,62.68899999999999,63.618,62.583999999999996,63.593999999999994,10873925,197.06,197.87,195.49,196.81,1946662,101.82,102.36,101.62,102.36,8316345,43.034,43.361000000000004,42.755,43.353,11308062,45.758,46.191,45.701,45.983999999999995,20063812
2019-04-05,28.433000000000003,28.603,28.103,28.201,47830115,63.458999999999996,63.922,62.748000000000005,63.093,11493092,197.62,199.68,196.34,196.65,2518551,102.5,102.78,101.7,102.02,10254326,43.496,43.738,43.111999999999995,43.275,8958009,46.342,46.483000000000004,45.721000000000004,45.89,25229553
2019-04-04,27.976999999999997,28.423000000000002,27.967,28.268,55387407,62.381,63.72,62.381,63.353,12379881,195.12,198.51,194.83,196.5,2657575,101.28,102.44,101.19,102.27,12337899,42.725,43.603,42.725,43.303999999999995,9462424,46.05,46.736000000000004,45.983999999999995,46.256,20472961
2019-04-03,28.191,28.355999999999998,27.831999999999997,27.967,65079017,62.553999999999995,62.902,62.111999999999995,62.622,12010861,193.61,195.4,192.92,195.18,3321878,101.72,102.26,100.74,101.28,11961241,42.65,43.023999999999994,42.446000000000005,42.775,12151813,45.599,45.975,45.233000000000004,45.965,32278534
2019-04-02,27.609,27.997,27.491999999999997,27.997,68774164,61.833,62.428999999999995,61.525,62.006,10301865,190.69,192.16,189.87,191.9,2312408,100.56,101.36,100.3,101.08,10709209,41.858999999999995,42.302,41.647,42.118,13593066,45.693000000000005,45.983999999999995,45.119,45.352,37622456
2019-04-01,27.055,27.872,27.008000000000003,27.677,94612774,60.495,62.208999999999996,60.465,61.948,18426886,188.51,192.49,188.13,191.17,3666294,98.20299999999999,100.64,98.17299999999999,100.6,18202393,41.232,42.36,41.202,41.95399999999999,26782397,45.56,46.003,45.317,45.919,44661265
2019-03-29,26.717,26.843000000000004,26.474,26.755,86048979,59.994,60.455,59.638000000000005,59.888999999999996,13928229,187.23,187.65,185.73,186.56,2709460,97.618,98.055,96.698,97.315,15106938,40.943000000000005,41.086999999999996,40.446,40.673,12254805,46.85,46.85,44.967,45.456,56965535
2019-03-28,26.378,26.581,26.203000000000003,26.503,47302997,58.665,59.676,58.541000000000004,59.657,12551361,185.34,186.48,183.93,185.77,2411667,96.137,96.902,95.88799999999999,96.824,12954469,39.988,40.451,39.883,40.412,8712276,45.843999999999994,46.299,45.486000000000004,46.181999999999995,16881709
2019-03-27,26.271,26.541999999999998,26.13,26.213,59418882,59.07899999999999,59.349,58.445,58.455,16996581,185.2,186.19,183.39,184.66,2412059,96.022,96.572,95.25299999999999,95.73299999999999,13265653,40.306,40.529,39.796,39.873000000000005,11674063,46.041000000000004,46.276,45.583,45.881,17977030
2019-03-26,26.328000000000003,26.523000000000003,26.068,26.386999999999997,61746062,58.705,59.051,58.262,58.926,15314216,184.66,186.97,183.34,185.29,2994848,95.965,96.525,95.00399999999999,96.061,16629484,40.201,40.702,39.838,40.365,9976431,45.646,46.135,45.543,46.107,18059508
